"","address","price","area"
"301","永康街東門永康靜巷美居2+1房..",48000,27.6
"302","溫州街48巷溫州靜巷捷運電梯兩..",38000,23
"303","羅斯福路三段全新耕曦鋼骨高樓..",78000,44.4
"304","信義路四段★捷運大安站3+1房..",78000,60.6
"305","金華街199巷淡大城區部★仙境..",39000,27
"306","泰順街太子尊邸★仙境：正三房..",72000,70.6
"307","仁愛路四段仁愛圓環★仙境：二..",36000,19.2
"308","敦化南路二段11巷一層一戶~近..",35000,15
"309","新生南路一段165巷大安森林公..",38000,25
"310","安和路二段35巷信義安和5分鐘..",26000,16
"311","臥龍街43巷六張犁臥龍街★高樓..",52000,38.4
"312","大安路二段捷運大安站/靜巷豪..",178000,48.6
"313","安和路一段仁愛國小對面★一層..",85000,58.2
"314","安和路一段忠孝敦化捷運站~全..",80000,45.1
"315","光復南路昇陽建設~雙捷運~氣..",90000,61.2
"316","延吉街忠孝敦化捷運美寓",32000,25
"317","信義路四段大安捷運站旁~高樓..",78000,60.6
"318","建國南路一段大安森林公園/捷..",34000,18.5
"319","信義路四段家門口就是信義安和..",47000,33.2
"320","信義路三段大安捷運站旁~靜巷..",63000,41.3
"321","敦化南路一段忠孝敦化捷運站旁..",120000,51.7
"322","忠孝東路三段忠孝復興捷運站~S..",40000,42.7
"323","四維路186巷四維路~遠企林蔭..",46000,58.8
"324","復興南路一段捷運忠孝復興站6..",35000,30
"325","仁愛路三段123巷屋主-..",46000,42
"326","敦化南路二段◎品味非凡◎全新..",89000,50
"327","和平東路三段◎MRT景觀宅◎仕..",119990,80.9
"328","建國南路一段杏雨梨雲,風清月..",120000,71
"329","安和路一段萬眾矚目,無與倫比..",59000,49.4
"330","建國南路一段◎潔白純淨◎鄉村..",65000,37.8
"331","新生南路一段寧靜美宅,鳥語花..",52000,43.1
"332","和平東路三段◎風光旖旎◎景觀..",89000,78.6
"333","敦化南路一段◎名人巷仁愛圓環..",85000,91.5
"334","敦化南路一段161巷玉樹臨風,..",70000,52.2
"335","安和路二段時尚風格,書香菁華..",46000,25.6
"336","仁愛路四段超大空間,精華地段..",65000,66.5
"337","樂業街雅痞風流,超群絕倫,耀..",199990,79.9
"338","瑞安街格調奢華,引領潮流,藝..",110000,61
"339","永康街悠然自得,鳥語花香,超..",74990,72.8
"340","仁愛路四段群英薈萃,尊爵榮耀..",105000,65.3
"341","四維路都會核心,炙手可熱,時..",62000,46.2
"342","通安街耀眼璀璨,時尚格調,萬..",49899,25.7
"343","忠孝東路四段品味人士,晉升名..",51997,44.3
"344","敦化南路一段177巷貴族名流,..",120000,60.6
"345","復興南路二段書香菁華,政商雲..",125000,71.5
"346","敦化南路一段尊貴輝煌,鑽石名..",119990,62.4
"347","忠孝東路四段77巷全新落成,高..",54000,25.5
"348","敦化南路二段萬眾矚目,文藝氣..",120000,60.8
