"","address","price","area","floor","allfloor","livingroom","bathroom","bedroom"
"408","仁愛路四段仁愛圓環名宅091861..",110000,65.3,3,11,2,2,3
"409","和平東路三段464巷★近捷運麟..",69999,55.8,2,14,2,2,4
"410","敦化南路一段近忠孝東路四段<U+2729>..",119990,62.4,10,14,2,2,3
"411","延吉街近國父紀念館站☆生活機..",40000,28,2,7,2,2,2
"412","新生南路一段近捷運忠孝新生☆..",120000,58.6,3,7,2,2,2
"413","敦化南路二段舊鑽綠蔭高樓景觀..",88000,75.9,15,21,2,4,5
"414","敦化南路一段233巷忠孝敦化東..",40000,43.9,4,7,2,2,3
"415","光復南路國館站華廈0918..",37000,38.8,4,7,2,2,4
"416","忠孝東路三段248巷SOGO一樓09..",48000,48.7,1,14,2,2,3
"417","復興南路一段旺德美客Φ信義路..",108000,36.8,13,14,2,2,3
"418","建國南路二段25巷捷運公園一樓..",46000,22,1,4,2,1,3
"420","信義路二段明亮溫馨小屋，近捷..",34000,10.8,3,11,1,1,1
"421","建國南路一段近仁愛路美裝潢<U+263C>..",120000,70,1,5,3,3,4
"422","仁愛路四段仁愛復興俯瞰國父紀..",119000,59.8,6,15,2,2,3
"423","仁愛路四段近國父紀念館/管理..",38000,27.4,2,9,1,1,1
"424","敦化南路一段近仁愛圓環.東區..",85000,91.5,7,7,2,3,4
"425","和平東路三段近捷運六張犁站*..",60000,58.7,8,19,2,2,3
"426","仁愛路四段71巷~私立復興高級..",70000,67,2,7,2,2,3
"427","建國南路一段270巷建國花市大..",119999,71,1,5,3,3,4
"428","安和路二段信義安和遠企樹海名..",120000,62,6,25,2,2,3
"429","臥龍街近麟光站.精美裝潢.綠..",60000,36.9,7,13,2,2,3
"430","忠孝東路三段248巷進忠孝復興..",48000,48.7,1,14,2,2,3
"431","光復南路高樓景觀、近信義安和..",105000,60,17,19,2,2,3
"432","泰順街44巷師大7-11雅緻店面",70000,36,1,4,1,1,1
"433","師大路台電捷運師大路口三樓",20000,12,3,5,1,1,1
"434","忠孝東路四段忠孝敦化精緻歐洲..",79000,47.4,8,14,2,2,3
"435","安和路一段近仁愛敦南圓環、忠..",80000,45.1,11,12,2,2,3
"436","仁愛路四段進仁愛圓環、忠孝敦..",110000,65.3,3,14,2,2,3
"437","安和路一段仁愛學區優質名宅",59000,49.4,4,16,2,2,4
"438","安和路一段敦南安和優質名宅",80000,45,11,12,2,2,3
"439","安和路二段名宅美屋~雙捷運~..",60000,59,4,15,2,2,3
"440","安和路二段217巷遠企靜..",38000,31.7,2,5,2,2,3
"441","通化街六張黎頂加2房",18000,13.1,5,5,1,1,2
"442","和平東路三段遠企六張捷運大廈",65000,59,12,12,2,2,3
"443","和平東路二段175巷近捷運站優..",35000,17.7,2,10,2,1,1
"445","新生南路三段大安森林公園＊稀..",43000,28.6,11,14,2,2,2
"446","建國南路一段大安森林公園~時..",34000,18.5,6,12,1,1,2
"447","忠孝東路三段248巷忠孝復興MR..",48000,48.7,1,14,2,2,3
"448","忠孝東路三段248巷忠孝復興捷..",40000,42.7,11,14,2,2,3
"449","復興南路一段279巷優質住宅即..",50000,37,3,7,2,2,2
"450","復興南路一段107巷忠孝復興優..",60000,42.9,4,7,2,2,3
"451","新生南路三段坐擁大安森林優質..",43000,28,11,14,2,2,3
"452","復興南路一段219巷優質四大房..",75000,62,4,7,2,3,4
"453","仁愛路三段123巷SOGO捷運空總..",58000,49,2,7,2,2,4
"454","羅斯福路三段283巷《已出租》..",45000,41.6,2,4,2,2,4
"455","溫州街22巷《已出租》溫州靜巷..",22000,15,3,5,1,1,1
"456","復興南路一段雙捷運線中間住辦..",46000,36,3,14,2,2,3
"457","光復南路240巷全天管理國父紀..",30000,15,3,11,1,1,1
"458","瑞安街208巷簡約兩房優質24小..",34000,29,4,7,2,2,2
"459","師大路105巷優質住宅近捷運步..",30000,19,6,9,1,1,2
"460","信義路四段採光明亮優質管理雅..",78000,60,12,17,2,3,4
"461","建國南路一段優質管理住宅近大..",34000,18,6,12,1,1,2
"462","師大路117巷台電大樓捷..",28000,28,5,5,2,2,3
"463","光復南路國父紀念館逸仙香榭",100000,57.1,5,7,3,3,3
"464","仁愛路四段71巷仁愛圓環靜巷大..",65000,66,2,7,2,2,3
"465","金山南路二段101巷空間寬敞採..",40000,40,2,4,1,1,2
"466","信義路四段謙華高樓景觀名邸",105000,33,8,15,2,2,2
